V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,Class
2006,1,4,2,4,2,5,4,5,1,1,1
2006,1,5,2,4,8,4,2,3,1,1,1
2006,1,4,2,3,4,3,5,1,1,1,1
2006,1,5,2,3,4,3,5,1,1,1,1
2006,1,3,1,2,4,4,1,0,1,1,1
2006,1,5,2,3,4,2,3,3,1,2,1
2006,1,4,2,4,4,2,5,0,2,1,1
2006,1,5,2,5,4,3,1,5,1,1,1
2006,1,4,1,4,6,4,4,5,1,1,1
2006,1,5,2,4,5,5,5,5,1,1,1
2006,1,4,2,4,3,3,4,0,1,1,1
2006,1,5,2,2,2,5,5,0,1,1,1
2006,1,4,1,4,5,3,4,5,1,1,1
2006,1,5,2,2,5,2,5,0,1,1,1
2006,1,5,2,2,4,5,5,5,1,1,1
2006,2,5,2,4,4,3,5,5,2,1,1
2006,2,2,2,2,6,4,4,0,1,1,1
2006,1,5,2,1,4,5,2,0,2,1,1
2006,1,3,2,2,4,5,5,0,1,1,1
2006,1,4,2,3,5,3,3,3,1,1,0
2006,1,4,2,3,4,5,4,2,1,2,1
2006,1,5,2,3,3,2,5,0,1,1,1
2006,1,5,2,4,4,5,5,0,1,1,1
2006,1,3,2,3,5,5,5,0,1,1,1
2006,1,4,1,2,7,5,5,0,1,1,1
2006,1,5,2,2,6,5,5,0,2,1,0
2006,1,3,2,2,7,2,2,0,1,1,1
2006,2,4,2,3,4,5,4,0,1,1,0
2006,2,5,2,5,5,4,5,3,2,1,1
2006,1,5,2,3,4,5,5,0,1,1,0
2006,1,3,2,4,7,5,4,5,5,2,1
2006,1,3,2,2,6,5,3,0,1,1,1
2006,2,3,1,3,6,5,5,3,1,1,1
2006,2,5,2,3,3,5,5,2,2,1,1
2006,1,5,2,2,9,5,5,2,2,1,1
2006,2,5,2,3,4,4,5,3,1,1,1
2006,1,5,2,5,4,3,5,5,1,1,1
2006,1,3,1,3,12,2,3,1,4,1,1
2006,2,3,2,2,7,3,4,0,1,1,1
2006,1,3,2,3,3,5,2,1,1,1,0
2006,1,2,2,2,4,5,5,3,1,1,0
2006,1,4,2,2,6,3,5,1,1,1,0
2006,1,5,2,2,4,2,2,2,1,1,1
2006,1,5,2,5,6,4,5,5,5,1,0
2006,1,5,2,4,4,5,5,5,3,1,1
2006,2,4,2,3,3,5,3,0,1,1,1
2006,1,3,2,5,5,2,1,5,1,1,1
2006,2,2,1,3,6,5,5,5,4,1,1
2006,1,4,2,4,3,2,2,5,1,1,1
2006,1,2,1,4,5,5,3,5,1,1,1
2006,1,3,2,3,3,2,4,3,1,1,1
2006,1,3,2,2,3,4,5,0,1,1,1
2006,1,5,2,2,4,5,5,1,1,1,1
2006,1,5,2,4,6,5,5,4,1,1,1
2006,1,5,2,2,3,4,5,3,1,1,1
2006,1,5,2,4,5,4,3,0,1,1,1
2006,1,3,2,3,6,5,2,0,1,1,1
2006,1,5,2,4,3,5,5,5,4,1,1
2006,1,4,2,4,7,3,5,5,1,1,1
2006,2,3,1,4,3,5,3,5,1,1,1
2006,2,3,1,4,3,5,5,5,1,1,1
2006,1,3,2,4,3,2,5,3,3,1,1
2006,2,3,2,2,7,4,5,3,1,1,0
2006,1,5,2,4,1,3,4,3,1,1,1
2006,1,5,1,3,4,5,5,3,1,1,1
2006,2,5,2,4,5,4,5,5,5,1,1
2006,2,4,2,2,4,5,5,2,1,1,0
2006,1,5,2,2,2,4,3,5,1,1,1
2006,2,5,2,3,5,3,5,5,1,1,1
2006,1,5,2,4,3,3,5,5,1,1,0
2006,2,4,2,4,6,4,5,3,1,1,1
2006,2,4,2,4,7,5,5,3,1,1,1
2006,2,5,2,3,6,5,5,3,1,1,0
2006,2,5,1,4,4,4,3,3,1,1,1
2006,2,5,2,4,4,4,5,5,1,1,0
2006,2,4,2,2,4,1,5,4,1,1,1
2006,2,5,2,4,10,5,5,5,1,1,1
2006,2,5,2,2,9,5,5,5,1,1,0
2006,1,5,2,4,3,4,2,5,1,2,1
2006,1,5,2,4,6,4,5,5,5,1,0
2006,1,5,2,4,4,3,5,5,1,1,1
2006,1,4,2,3,5,5,3,5,1,1,1
2006,2,5,2,4,5,5,5,5,1,1,1
2006,2,4,2,5,5,5,4,5,1,1,0
2006,1,3,1,4,3,2,1,5,1,1,1
2006,1,5,2,2,4,2,5,1,3,1,0
2006,2,4,2,3,7,3,4,5,1,1,1
2006,2,3,2,3,6,2,4,4,1,1,1
2006,1,5,2,4,4,5,5,5,1,1,0
2006,1,5,2,4,6,2,5,5,2,1,1
2006,1,3,2,2,3,2,5,2,2,1,0
2006,2,5,1,3,4,5,4,5,1,2,0
2006,1,4,2,2,4,5,5,5,1,1,0
2006,2,5,2,3,3,5,5,5,1,1,1
2006,1,4,2,3,4,4,5,3,1,1,1
2006,1,5,2,4,8,4,5,5,1,1,1
2006,1,5,2,2,6,3,4,5,4,1,0
2006,2,5,2,3,6,5,4,3,1,1,1
2006,1,5,2,2,5,5,5,5,1,1,1
2006,1,4,2,3,4,1,5,3,1,1,1
2006,2,4,2,2,4,3,5,1,1,1,1
2006,2,3,1,4,7,1,2,5,1,1,1
2006,1,5,2,3,4,5,5,5,1,1,1
2006,1,5,2,5,3,2,4,5,1,1,0
2006,2,3,1,4,6,3,4,5,1,1,1
2006,1,5,2,5,5,2,5,5,1,1,1
2006,2,4,2,4,5,5,5,5,1,1,1
2006,1,5,2,4,4,5,5,3,2,1,0
2006,1,5,2,4,5,5,5,1,2,1,1
2006,1,5,2,4,3,3,3,5,2,1,1
2006,2,4,2,2,6,5,5,1,1,1,1
2006,2,4,2,3,5,5,5,5,5,1,1
2006,1,5,2,3,4,4,5,1,2,1,1
2006,1,2,1,4,3,5,3,5,1,1,1
2006,1,5,2,4,6,4,4,5,5,1,1
2006,1,4,2,4,5,5,5,3,2,1,1
2006,1,4,2,4,6,3,5,5,1,1,1
2006,2,5,2,4,4,3,5,5,1,2,1
2006,2,3,2,4,1,3,5,5,4,1,1
2006,1,4,1,2,6,5,5,3,1,1,1
2006,1,5,2,4,3,4,5,5,1,1,1
2006,1,5,2,2,4,3,5,2,1,1,1
2006,1,5,2,4,5,5,5,1,1,1,1
2006,1,5,2,3,5,5,5,5,1,1,1
2006,1,3,2,5,2,1,5,5,1,1,1
2006,1,5,2,5,4,5,5,5,1,1,1
2006,2,3,2,2,6,2,5,0,1,1,1
2006,1,5,2,2,5,5,5,0,1,2,1
2006,2,3,2,4,12,5,5,5,1,1,1
2006,1,3,1,4,4,5,2,2,1,1,1
2006,2,4,2,3,6,4,5,5,1,1,1
2006,2,2,2,3,5,5,5,5,1,1,1
2006,2,2,2,2,4,4,3,3,1,1,1
2006,2,5,2,3,6,3,5,5,1,1,1
2006,2,4,2,3,7,5,4,5,1,1,0
2006,1,5,2,4,2,2,5,5,2,1,0
2006,2,5,2,3,4,5,5,5,1,1,0
2006,1,3,2,4,6,5,4,5,1,1,0
2006,1,5,2,4,5,2,5,5,1,1,0
2006,2,4,2,4,4,5,4,5,1,1,0
2006,1,5,2,3,7,3,5,5,1,2,0
2006,1,4,2,4,6,3,4,2,1,1,1
2006,2,3,2,4,2,1,4,5,1,1,0
2006,1,3,2,4,5,2,2,5,1,1,1
2006,2,5,2,3,5,5,5,5,1,1,0
2006,2,3,1,3,6,5,4,5,1,1,1
2006,1,5,2,3,4,3,5,5,1,1,1
2006,1,4,2,4,6,4,3,2,1,1,1
2006,1,5,2,4,4,2,5,5,1,1,1
2006,1,5,2,3,8,5,5,5,1,1,1
2006,2,3,2,3,6,5,4,4,1,1,1
2006,1,4,2,3,8,5,3,5,1,1,1
2006,2,4,2,4,2,2,2,4,1,1,1
2006,1,5,2,5,50,5,5,5,2,1,1
2006,1,4,2,4,4,2,4,5,1,2,0
2006,2,5,2,3,3,3,5,5,1,1,1
2006,1,5,2,3,5,2,5,5,2,1,1
2006,1,4,2,4,3,2,3,5,1,2,1
2006,2,5,2,4,5,5,5,5,5,1,1
2006,1,5,2,3,4,4,5,3,2,1,0
2006,2,5,2,5,5,1,5,5,1,1,1
2006,1,3,2,2,4,4,5,5,4,1,1
2006,2,5,2,3,0,4,5,5,1,1,0
2006,1,4,2,4,3,4,4,5,1,1,0
2006,1,4,1,4,7,4,5,5,1,1,0
2006,1,3,2,2,4,2,4,5,1,1,0
2006,2,5,2,2,4,4,4,5,1,1,0
2006,2,5,2,2,6,5,1,5,4,1,1
2006,2,4,2,3,4,5,5,5,1,1,1
2006,1,5,2,4,4,4,5,5,5,1,1
2006,2,4,1,5,4,4,1,5,1,1,1
2006,2,5,2,3,4,3,2,5,1,1,1
2006,1,4,2,2,5,3,3,5,1,1,1
2006,2,5,2,4,6,4,5,5,3,1,1
2006,1,3,1,4,6,5,5,4,1,1,1
2006,2,3,2,2,5,2,5,4,1,1,1
2006,1,4,2,4,7,5,5,5,1,1,1
2006,2,2,1,3,7,4,4,5,1,1,1
2006,2,5,2,2,5,5,5,5,1,1,1
2006,1,5,2,4,5,5,5,5,1,1,1
2006,1,5,2,2,7,5,5,5,3,1,1
2006,1,3,2,4,4,5,5,5,1,1,1
2006,2,3,2,4,3,1,1,5,2,1,1
2006,1,4,2,4,3,3,4,5,1,1,1
2006,1,5,2,4,6,5,4,5,1,1,1
2006,2,3,1,3,5,3,3,5,1,1,1
2006,1,3,2,4,3,1,3,5,1,1,1
2006,2,3,2,4,5,2,5,5,1,1,1
2006,1,3,1,4,4,5,5,5,1,1,1
2006,1,4,2,3,17,3,3,3,1,1,1
2006,2,4,2,4,1,5,5,5,1,1,1
2006,1,5,2,4,4,2,4,5,1,1,0
2006,1,4,2,3,4,4,5,5,1,1,1
2006,1,5,2,3,5,5,5,5,1,1,1
2006,1,3,2,4,3,5,4,5,1,1,1
2006,2,5,2,4,4,4,5,5,1,1,1
2006,2,5,1,4,6,5,5,5,1,1,1
2006,1,5,2,4,5,2,4,5,1,1,1
2006,2,4,2,4,4,2,5,5,1,1,1
2006,2,5,2,3,5,5,5,5,4,1,0
2006,2,3,1,4,2,5,3,5,1,1,1
2006,2,5,2,4,4,5,5,5,1,1,1
2006,2,5,2,4,13,5,5,5,1,1,0
2006,1,5,2,4,5,5,5,5,2,1,1
2006,1,4,2,3,3,3,5,5,1,1,1
2006,1,5,2,4,6,5,5,5,1,1,1
2006,2,5,2,3,1,4,3,5,5,1,1
2006,2,5,2,4,3,4,5,5,1,1,1
2006,1,4,2,4,3,5,5,5,4,1,1
2006,1,5,2,2,6,5,5,5,1,1,1
2006,1,4,2,3,4,5,5,5,1,1,1
2006,1,3,2,4,3,5,2,5,1,1,1
2006,2,5,2,3,7,3,4,5,4,1,1
2006,1,3,2,5,4,4,5,5,1,1,1
2006,1,5,2,4,3,5,5,5,1,1,1
2006,1,4,2,2,3,2,5,5,1,1,1
2006,2,5,2,4,5,5,1,5,1,1,1
2006,2,5,1,3,2,5,5,5,3,1,1
2006,1,5,2,4,5,5,5,5,1,1,1
2006,2,5,2,4,4,4,5,5,1,1,1
2006,1,3,1,4,5,5,4,5,4,1,1
2006,2,5,2,4,6,5,5,5,2,1,1
2006,2,4,2,4,6,5,1,5,1,1,1
2006,2,3,2,4,3,4,4,5,1,1,1
2006,1,4,1,4,3,5,3,5,1,1,1
2006,2,5,2,3,3,5,5,5,2,1,1
2006,1,5,2,2,6,5,5,5,1,1,1
2006,1,5,1,4,5,5,3,5,1,1,1
2006,1,3,1,4,5,5,2,5,1,1,1
2006,1,3,1,2,10,5,3,5,1,2,0
2006,1,3,2,4,5,2,3,5,1,1,1
2006,1,5,2,4,4,3,4,5,1,1,1
2006,1,5,2,4,6,5,5,5,1,1,1
2006,2,5,2,4,7,5,5,5,1,1,1
2006,1,3,1,4,4,3,4,5,1,1,0
2006,1,5,2,5,5,2,3,5,1,2,1
2006,2,5,2,3,6,5,4,5,1,1,1
2006,2,3,2,4,7,4,3,5,1,1,1
2006,1,5,2,3,5,2,1,5,2,1,0
2006,1,5,2,2,4,5,5,5,1,1,1
